epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,40476.5,1.04783,1.16156,1.43472,0.03528,0.64963,0.60788,0.63845,0.43651,1.09316,1.24751,1.5298,0.04096,0.00102282,0.00102282,0.00102282
38,41584.5,1.05091,1.14729,1.43937,0.03724,0.64939,0.60558,0.64444,0.44446,1.09296,1.22986,1.54163,0.03879,0.00100257,0.00100257,0.00100257
39,42686.3,1.03191,1.11461,1.42184,0.0334,0.64202,0.61357,0.64865,0.44765,1.08368,1.21102,1.53057,0.04058,0.00098204,0.00098204,0.00098204
40,43785.7,1.01364,1.09802,1.40718,0.0342,0.67512,0.60602,0.65224,0.44995,1.07484,1.21137,1.5167,0.03862,0.000961253,0.000961253,0.000961253
41,44881.4,1.01616,1.0919,1.41533,0.03458,0.66606,0.58769,0.64669,0.4502,1.06974,1.22654,1.51378,0.03783,0.00094023,0.00094023,0.00094023
42,45973.4,1.01645,1.08128,1.41227,0.03465,0.68377,0.60449,0.6628,0.45794,1.08924,1.19677,1.51973,0.0408,0.000918991,0.000918991,0.000918991
43,47075,1.00543,1.05659,1.39029,0.03284,0.68332,0.62353,0.67168,0.46522,1.07782,1.16995,1.5025,0.03904,0.000897557,0.000897557,0.000897557
44,48170.7,1.00061,1.05403,1.39899,0.03468,0.69935,0.61417,0.67395,0.47569,1.05509,1.14753,1.49963,0.03748,0.00087595,0.00087595,0.00087595
45,49265.1,0.98769,1.03957,1.38689,0.03319,0.7014,0.6227,0.68588,0.48263,1.04731,1.12683,1.48768,0.03747,0.00085419,0.00085419,0.00085419
46,50360.9,0.96783,1.02186,1.37503,0.03127,0.6826,0.63449,0.67439,0.48109,1.04464,1.14267,1.48643,0.03812,0.0008323,0.0008323,0.0008323
