epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,11115.8,1.1858,1.36756,1.46938,0.04054,0.54221,0.5196,0.5276,0.34014,1.22572,1.46473,1.54593,0.04873,0.000919704,0.000919704,0.000919704
38,11396.3,1.18404,1.36315,1.47309,0.04287,0.55016,0.49746,0.51906,0.33578,1.23223,1.5058,1.55818,0.0469,0.000905557,0.000905557,0.000905557
39,11675.6,1.16261,1.32274,1.4492,0.03802,0.56772,0.52314,0.5333,0.34574,1.22055,1.45405,1.54537,0.04559,0.00089141,0.00089141,0.00089141
40,11956.1,1.14909,1.31484,1.43993,0.04039,0.55517,0.53659,0.54298,0.35767,1.20237,1.4311,1.52955,0.04453,0.000877263,0.000877263,0.000877263
41,12237.7,1.15478,1.31286,1.449,0.03967,0.55584,0.52426,0.53959,0.35299,1.20901,1.46661,1.5229,0.04658,0.000863116,0.000863116,0.000863116
42,12518.4,1.15896,1.31139,1.45579,0.04023,0.5498,0.52727,0.54103,0.35098,1.21606,1.48472,1.54029,0.04576,0.000848969,0.000848969,0.000848969
43,12798.5,1.14746,1.29361,1.42832,0.03893,0.53974,0.53881,0.54566,0.35716,1.19721,1.42847,1.50948,0.04384,0.000834822,0.000834822,0.000834822
44,13080,1.14237,1.2875,1.4353,0.0402,0.55716,0.52807,0.55259,0.36197,1.21956,1.40714,1.52869,0.04781,0.000820675,0.000820675,0.000820675
45,13360,1.13239,1.27937,1.43087,0.03893,0.59375,0.52429,0.56002,0.36852,1.18341,1.40222,1.50444,0.04402,0.000806528,0.000806528,0.000806528
46,13641.1,1.12654,1.2687,1.42413,0.03803,0.5604,0.53419,0.54671,0.36128,1.19295,1.44723,1.51894,0.04416,0.00079238,0.00079238,0.00079238
47,13932.3,1.12851,1.26229,1.42826,0.03694,0.57134,0.52027,0.55357,0.36442,1.18746,1.40824,1.5165,0.04504,0.000778233,0.000778233,0.000778233
48,14272.8,1.12931,1.26129,1.42308,0.03827,0.5766,0.53798,0.57027,0.37401,1.197,1.40157,1.51937,0.04397,0.000764086,0.000764086,0.000764086
49,14609.6,1.12999,1.25002,1.43368,0.03971,0.58079,0.53953,0.56569,0.37637,1.1889,1.38318,1.5185,0.04502,0.000749939,0.000749939,0.000749939
50,14945.4,1.11138,1.23223,1.41344,0.03813,0.58416,0.55169,0.57105,0.37273,1.1826,1.3975,1.50254,0.04503,0.000735792,0.000735792,0.000735792
51,15282.8,1.11728,1.23056,1.41655,0.0385,0.58521,0.53649,0.57213,0.38223,1.18329,1.38732,1.50291,0.04351,0.000721645,0.000721645,0.000721645
52,15622.8,1.11717,1.22753,1.41795,0.03803,0.59194,0.55602,0.57876,0.38236,1.1811,1.38316,1.5036,0.04333,0.000707498,0.000707498,0.000707498
53,15962.7,1.11099,1.23348,1.41261,0.03768,0.59092,0.56642,0.59382,0.39838,1.15863,1.33739,1.49196,0.04196,0.000693351,0.000693351,0.000693351
54,16300.8,1.1096,1.22107,1.39293,0.03809,0.61211,0.54846,0.57975,0.38812,1.16605,1.37889,1.48832,0.043,0.000679204,0.000679204,0.000679204
55,16639.2,1.10284,1.19016,1.38895,0.03806,0.61813,0.56026,0.59129,0.39031,1.17946,1.34957,1.5067,0.043,0.000665057,0.000665057,0.000665057
